BigBench-Hard,IFEval,MathLvl5,MMLU_Pro,MuSR,model,timestamp
0.6479777816351328,0.5582255083179297,0.18957703927492447,0.4658410904255319,0.49074074074074076,migtissera/Llama-3-70B-Synthia-v3.5,2024-10-24T00-00-00.000000
0.6479777816351328,0.5582255083179297,0.18957703927492447,0.4658410904255319,0.49074074074074076,migtissera/Llama-3-70B-Synthia-v3.5,2024-07-18T03-07-17.091809
0.5565006075334143,0.3512014787430684,0.08610271903323263,0.3307845744680851,0.41005291005291006,migtissera/Trinity-2-Codestral-22B,2024-09-18T14-57-47.111766
0.5565006075334143,0.3512014787430684,0.08610271903323263,0.3307845744680851,0.41005291005291006,migtissera/Trinity-2-Codestral-22B,2024-10-24T00-00-00.000000
0.4601631661169936,0.32162661737523107,0.03323262839879154,0.30335771276595747,0.41005291005291006,migtissera/Tess-3-7B-SFT,2024-10-24T00-00-00.000000
0.4601631661169936,0.32162661737523107,0.03323262839879154,0.30335771276595747,0.41005291005291006,migtissera/Tess-3-7B-SFT,2024-07-29T08-57-05.895142
0.6637736504079152,0.3844731977818854,0.27416918429003023,0.5561003989361702,0.41798941798941797,migtissera/Tess-v2.5.2-Qwen2-72B,2024-07-18T06-59-42.102920
0.6637736504079152,0.3844731977818854,0.27416918429003023,0.5561003989361702,0.41798941798941797,migtissera/Tess-v2.5.2-Qwen2-72B,2024-10-24T00-00-00.000000
0.488456865127582,0.27171903881700554,0.04682779456193353,0.25648271276595747,0.4444444444444444,migtissera/Tess-3-Mistral-Nemo-12B,2024-10-24T00-00-00.000000
0.488456865127582,0.27171903881700554,0.04682779456193353,0.25648271276595747,0.4444444444444444,migtissera/Tess-3-Mistral-Nemo-12B,2024-09-03T12-01-51.063796
0.4868946363478563,0.4491682070240296,0.05060422960725076,0.30302526595744683,0.40343915343915343,migtissera/Llama-3-8B-Synthia-v3.5,2024-10-24T00-00-00.000000
0.4868946363478563,0.4491682070240296,0.05060422960725076,0.30302526595744683,0.40343915343915343,migtissera/Llama-3-8B-Synthia-v3.5,2024-09-03T08-49-26.051645
0.568477694844645,0.3752310536044362,0.07854984894259819,0.3353557180851064,0.4021164021164021,migtissera/Trinity-2-Codestral-22B-v0.2,2024-10-24T00-00-00.000000
0.568477694844645,0.3752310536044362,0.07854984894259819,0.3353557180851064,0.4021164021164021,migtissera/Trinity-2-Codestral-22B-v0.2,2024-09-18T18-05-33.976916
0.5667418850893942,0.36414048059149723,0.08383685800604229,0.33402593085106386,0.40343915343915343,migtissera/Trinity-2-Codestral-22B-v0.2,2024-09-03T09-17-52.137579
0.6182954348203437,0.4029574861367837,0.026435045317220542,0.3731715425531915,0.41005291005291006,migtissera/Tess-v2.5-Phi-3-medium-128k-14B,2024-10-24T00-00-00.000000
0.6182954348203437,0.4029574861367837,0.026435045317220542,0.3731715425531915,0.41005291005291006,migtissera/Tess-v2.5-Phi-3-medium-128k-14B,2024-09-01T06-11-14.245088
0.42266967540357575,0.1367837338262477,0.0,0.16032247340425532,0.38095238095238093,wave-on-discord/qwent-7b,2024-10-24T00-00-00.000000
0.42266967540357575,0.1367837338262477,0.0,0.16032247340425532,0.38095238095238093,wave-on-discord/qwent-7b,2024-10-01T03-14-19.789003
0.4601631661169936,0.5194085027726433,0.05362537764350453,0.31441156914893614,0.3531746031746032,argilla-warehouse/Llama-3.1-8B-MagPie-Ultra,2024-10-24T00-00-00.000000
0.4601631661169936,0.5194085027726433,0.05362537764350453,0.31441156914893614,0.3531746031746032,argilla-warehouse/Llama-3.1-8B-MagPie-Ultra,2024-10-02T04-15-28.814892
0.4214546085749002,0.15157116451016636,0.02945619335347432,0.3110871010638298,0.3915343915343915,apple/DCLM-7B,2024-10-24T00-00-00.000000
0.4214546085749002,0.15157116451016636,0.02945619335347432,0.3110871010638298,0.3915343915343915,apple/DCLM-7B,2024-08-16T10-33-56.932813
0.5195278597465718,0.19963031423290203,0.04833836858006042,0.32064494680851063,0.44047619047619047,BlackBeenie/llama-3.1-8B-Galore-openassistant-guanaco,2024-10-24T00-00-00.000000
0.5195278597465718,0.19963031423290203,0.04833836858006042,0.32064494680851063,0.44047619047619047,BlackBeenie/llama-3.1-8B-Galore-openassistant-guanaco,2024-10-19T11-26-56.879492
0.5141468495052942,0.36229205175600737,0.07854984894259819,0.3773271276595745,0.414021164021164,BlackBeenie/llama-3-luminous-merged,2024-10-24T00-00-00.000000
0.5141468495052942,0.36229205175600737,0.07854984894259819,0.3773271276595745,0.414021164021164,BlackBeenie/llama-3-luminous-merged,2024-10-11T13-21-44.421484
0.5054678007290401,0.6210720887245841,0.1283987915407855,0.35804521276595747,0.42857142857142855,xxx777xxxASD/L3.1-ClaudeMaid-4x8B,2024-10-24T00-00-00.000000
0.5054678007290401,0.6210720887245841,0.1283987915407855,0.35804521276595747,0.42857142857142855,xxx777xxxASD/L3.1-ClaudeMaid-4x8B,2024-08-12T23-45-31.738192
0.28258982815483424,0.09981515711645102,0.0,0.11685505319148937,0.35978835978835977,jaredjoss/pythia-410m-roberta-lr_8e7-kl_01-steps_12000-rlhf-model,2024-10-24T00-00-00.000000
0.28258982815483424,0.09981515711645102,0.0,0.11685505319148937,0.35978835978835977,jaredjoss/pythia-410m-roberta-lr_8e7-kl_01-steps_12000-rlhf-model,2024-08-12T21-48-49.562161
0.5195278597465718,0.3659889094269871,0.06570996978851963,0.31441156914893614,0.44576719576719576,Stark2008/VisFlamCat,2024-10-24T00-00-00.000000
